target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,sourceflag,vsinflag,metflag
GJ541.1,214.50618,-7.54204,2453062.8529216,-1.138963,1.188508,-12291.373674,1.133787,0.187144,0.957598,-12288.466984,0.85213,0.943188,0.956897,5.790351,8.357966,-51.371586,3.419384,0.424321,0.000986,0.306956,0.001348,0.417054,0.001715,0,7.399189,53.551738,-0.008224,-12.429,75.4,2453062.85291,25.243893,25.243936,0.015,-9999999,0,3.024717,0.703958,2.90669,0.747896,0.59,899.9947,5.769754,8.358798,2004-02-27T08:14:52.736,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,5.22517706940854E-06,1.18914746921373E-06,0,0,0
GJ541.1,214.50618,-7.54204,2453152.6725477,-4.598435,0.974201,-12294.183382,0.89772,-6.114374,0.460529,-12293.07291,0.420444,-5.951136,0.463376,11.40495,5.070325,-41.430153,1.398237,0.422226,0.000499,0.296778,0.000662,0.417155,0.000868,0,7.40984,53.393912,-0.007298,-12.429,147.6,2453152.67254,-15.124474,-15.124129,-0.385,-9999999,0.023724,0.182671,0.858476,1.086748,0.793176,0.5,153.2013,11.428079,5.055032,2004-05-27T04:00:03.188,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,9.36709895453892E-06,4.64344098258844E-07,0,0,0
GJ541.1,214.50618,-7.54204,2453918.5773091,-2.336535,1.24515,-12291.077264,1.11604,-3.330527,1.107884,-12290.598186,0.890066,-3.021133,1.11502,10.070903,8.917195,-24.963146,3.239049,0.42368,0.001091,0.299134,0.001455,0.411413,0.001906,0,7.41244,53.250807,-0.003722,-12.4,69.8,2453918.5774,-26.593967,-26.594078,0.19,-9999999,0.226024,0.704617,0.568323,0.253054,0.673297,0.38,60.0005,10.044985,8.91421,2006-07-02T01:47:27.323,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,6.22858900467383E-06,9.94453299840784E-07,0,0,0
GJ541.1,214.50618,-7.54204,2453918.578383,-3.858922,1.224043,-12293.199946,1.097332,-4.853255,1.084108,-12292.722883,0.866492,-4.951838,1.090376,0.088498,11.638374,-20.316497,3.159786,0.42694,0.001066,0.296309,0.00141,0.408333,0.001848,0,7.416471,53.216716,-0.002923,-12.4,71.5,2453918.57847,-26.596717,-26.596797,0.027,-9999999,0.226024,0.704276,0.568323,0.251039,0.673296,0.36,60.001,0.072307,11.632345,2006-07-02T01:49:01.308,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,1.16097397243519E-05,7.77196037333638E-07,0,0,0
GJ541.1,214.50618,-7.54204,2453918.5794701,-5.089753,1.209444,-12295.42126,1.081855,-6.084432,1.067597,-12294.946237,0.846808,-5.996204,1.074262,6.427872,10.370558,-26.007596,2.723681,0.427551,0.001025,0.299266,0.001376,0.402378,0.001781,0,7.412248,53.253911,-0.004796,-12.4,73.6,2453918.57955,-26.599494,-26.599569,0.092,-9999999,0.226024,0.703931,0.568322,0.248999,0.673296,0.35,60.0014,6.413022,10.364903,2006-07-02T01:50:35.843,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,6.778536577301E-06,1.13754114848472E-06,0,0,0
GJ541.1,214.50618,-7.54204,2453918.5805984,-4.108202,1.253907,-12291.113472,1.122652,-5.103239,1.117718,-12290.640565,0.898344,-4.721412,1.124443,-4.31288,10.974711,-23.173963,3.02236,0.426473,0.001094,0.29576,0.001451,0.409959,0.001906,0,7.42187,53.212051,-0.006613,-12.4,69.6,2453918.58069,-26.602369,-26.60245,0.076,-9999999,0.226025,0.703572,0.568322,0.246882,0.673295,0.36,60.0018,-4.315144,10.969759,2006-07-02T01:52:12.739,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,1.06353149774355E-05,1.01484176956139E-06,0,0,0
GJ541.1,214.50618,-7.54204,2453918.5816857,-5.010257,1.286461,-12294.838552,1.148149,-6.00564,1.15412,-12294.367685,0.930011,-6.185999,1.161938,5.995093,9.305365,-29.759085,3.054919,0.425649,0.001097,0.297231,0.001477,0.407688,0.001929,0,7.415813,53.274666,-0.007012,-12.4,68.5,2453918.58176,-26.605131,-26.605204,0.279,-9999999,0.226025,0.703227,0.568321,0.244842,0.673295,0.35,59.9996,5.990909,9.299859,2006-07-02T01:53:47.294,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,6.47632728482972E-07,1.53802194854238E-06,0,0,0
GJ541.1,214.50618,-7.54204,2453918.5827635,-4.126997,1.601398,-12293.743477,1.46056,-5.122722,1.49716,-12293.274632,1.296113,-5.097717,1.507003,3.309321,13.837177,-25.63063,4.386858,0.425013,0.001428,0.296868,0.001926,0.406735,0.00251,0,7.414971,53.231838,-0.009336,-12.4,53.6,2453918.58284,-26.607862,-26.607924,0.19,-9999999,0.226025,0.702884,0.568321,0.24282,0.673294,0.34,60.0015,3.305896,13.832684,2006-07-02T01:55:21.019,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,5.93226820587602E-07,1.70288266169137E-06,0,0,0
GJ541.1,214.50618,-7.54204,2453918.5838528,-3.52308,1.462052,-12291.869108,1.314845,-4.519151,1.347074,-12291.402306,1.129377,-4.98018,1.35545,7.933333,13.18411,-25.470884,3.737983,0.425953,0.001274,0.299794,0.00173,0.413274,0.002265,0,7.417848,53.236797,-0.010601,-12.4,59.4,2453918.58394,-26.610615,-26.610695,0.392,-9999999,0.226026,0.702538,0.56832,0.240776,0.673294,0.35,59.9991,7.912345,13.180345,2006-07-02T01:56:54.545,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,-9999999,-9999999,-9999999,-9999999,-9999999
GJ541.1,214.50618,-7.54204,2453918.5849611,-1.070967,1.389421,-12291.043221,1.246299,-2.06739,1.267874,-12290.578498,1.048779,-1.949005,1.276278,9.356106,11.889254,-26.539905,3.563429,0.426395,0.001236,0.297095,0.001651,0.407272,0.002155,0,7.417946,53.247437,-0.00786,-12.4,61.8,2453918.58505,-26.613408,-26.613514,0.297,-9999999,0.226026,0.702186,0.56832,0.238697,0.673293,0.38,60.0024,9.349081,11.88707,2006-07-02T01:58:28.510,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,1.08802600351769E-05,1.11251431376393E-06,0,0,0
GJ541.1,214.50618,-7.54204,2453918.5860259,-3.317274,1.345716,-12291.425246,1.205633,-4.314035,1.219821,-12290.962521,1.000114,-4.270816,1.227364,3.710912,12.622397,-21.399802,3.860198,0.426051,0.001184,0.297205,0.001584,0.407565,0.002071,0,7.412223,53.206286,-0.010221,-12.4,64.2,2453918.5861,-26.616083,-26.616152,0.204,-9999999,0.226026,0.701848,0.568319,0.236699,0.673293,0.34,60.0029,3.690577,12.618248,2006-07-02T02:00:02.915,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,1.42472849583513E-05,9.64447352742519E-07,0,0,0
GJ541.1,214.50618,-7.54204,2453918.5871508,-5.790655,1.445102,-12295.834439,1.297223,-6.787774,1.328659,-12295.373825,1.108812,-6.89408,1.337285,1.064268,12.398922,-26.45491,3.970161,0.42639,0.001284,0.296683,0.001718,0.412068,0.002257,0,7.417195,53.227214,-0.008487,-12.4,59.6,2453918.58724,-26.618901,-26.618986,0.285,-9999999,0.226026,0.701491,0.568319,0.234588,0.673292,0.38,59.9994,1.057434,12.394726,2006-07-02T02:01:37.721,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,1.43279719373681E-05,7.39634595880708E-07,0,0,0
GJ541.1,214.50618,-7.54204,2454237.6567363,4.791874,1.186891,-12285.745542,1.233741,3.271511,0.930958,-12285.545528,0.745173,3.258108,0.9335,-2.477574,8.869319,-18.830181,2.603727,0.423633,0.000889,0.288984,0.001168,0.412533,0.001559,0,7.42874,52.88418,-0.011567,-12.4,84.7,2454237.65681,-10.185126,-10.18518,-0.557,-9999999,0.310303,0.178246,0.736225,-0.110289,0.983278,0.35,59.9965,-2.470123,8.87132,2007-05-17T03:37:34.384,-9999999,G2,079.C-0046(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,7.22283447677629E-06,8.67997615616289E-07,0,0,0
GJ541.1,214.50618,-7.54204,2454246.6027591,2.986377,1.533041,-12286.402991,1.46287,3.314059,1.276398,-12284.815722,1.083113,3.321428,1.279889,-7.035899,12.305128,-19.369651,3.071572,0.424289,0.001239,0.294505,0.001667,0.409264,0.002194,0,7.41586,52.974419,-0.018455,-12.4,61.1,2454246.60276,-14.133123,-14.132955,-0.677,-9999999,0.312666,2.026291,0.849131,1.274603,0.983288,0.5,59.9946,-7.041465,12.305758,2007-05-26T02:20:13.210,-9999999,G2,079.C-0046(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_NONE,1.04084524593616E-05,1.14378153686056E-06,0,0,0
GJ541.1,214.50618,-7.54204,2454548.765663,9.879141,0.684433,-12279.746351,0.692223,8.04445,0.286787,-12279.323806,0.227815,8.334351,0.287429,-3.319454,3.645845,-2.715456,1.212418,0.425703,0.000279,0.29723,0.000358,0.410861,0.000469,0,7.415098,53.145823,-0.007507,-12.4,273.5,2454548.76578,16.195718,16.19564,-0.154,-9999999,0.392476,-0.136082,0.621452,0.030069,0.653661,0.5,800,-3.321163,3.673076,2008-03-23T06:08:54.497,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,9.65820639527632E-06,3.39358214290531E-07,0,0,0
GJ541.1,214.50618,-7.54204,2454551.8176586,2.928588,0.818466,-12287.261396,1.004654,0.362345,0.266347,-12286.748851,0.206062,0.686493,0.267606,-2.806477,3.970749,-4.81939,1.020593,0.426346,0.000246,0.295957,0.000316,0.409582,0.000415,0,7.416254,53.161997,-0.007787,-12.4,307.8,2454551.81777,14.703038,14.703023,-0.089,-9999999,0.393283,-0.867634,0.773916,0.119262,0.983294,0.46,800,-2.80166,3.973724,2008-03-26T07:24:05.325,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,9.43941253406856E-06,3.6000195949916E-07,0,0,0
GJ541.1,214.50618,-7.54204,2454552.7606048,0.93828,0.712927,-12288.785596,0.670743,0.836215,0.234872,-12286.603765,0.17742,1.205119,0.236712,-3.996837,3.810996,-9.729743,0.978478,0.425835,0.000215,0.298018,0.000276,0.418761,0.000361,0,7.411478,53.19257,-0.007181,-12.4,353.1,2454552.76072,14.417852,14.417801,0.137,-9999999,0.393532,1.596544,0.673127,1.788299,0.646852,0.5,800,-3.980405,3.816951,2008-03-27T06:01:19.917,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,9.59858188695471E-06,2.61701941103491E-07,0,0,0
GJ541.1,214.50618,-7.54204,2454553.7671872,0.745254,0.960564,-12287.206961,0.919752,-0.652138,0.430922,-12287.101286,0.354408,-0.49055,0.432252,4.335085,4.61632,-16.182709,1.46623,0.426519,0.00044,0.298752,0.000563,0.407855,0.000734,0,7.408545,53.211365,-0.005476,-12.4,174.3,2454553.76718,13.939514,13.939834,0.272,-9999999,0.393798,0.301217,0.85848,-0.288123,0.848727,0.5,200,4.34653,4.61641,2008-03-28T06:15:44.534,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,1.00886451706192E-05,4.43561744158151E-07,0,0,0
GJ541.1,214.50618,-7.54204,2454553.769868,-0.456673,0.960556,-12288.108912,0.919743,-1.854917,0.430905,-12288.008267,0.354385,-1.658342,0.432071,7.310534,4.904904,-15.262162,1.347189,0.426783,0.000439,0.297456,0.000562,0.411845,0.000737,0,7.411006,53.214803,-0.006965,-12.4,174.4,2454553.76987,13.931517,13.931841,0.478,-9999999,0.393798,0.300365,0.858481,-0.293153,0.848728,0.5,200,7.323549,4.902619,2008-03-28T06:19:36.146,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_F9,1.07913330996452E-05,4.2403779699613E-07,0,0,0
