target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,sourceflag,vsinflag,metflag
GJ641,253.243495,-0.029385,2453046.8726535,73.308373,1.122331,45233.630816,1.089768,93.294815,0.842285,45234.00594,0.722987,93.294815,0.842285,-48.439974,8.149851,-29.196249,2.448273,0.502849,0.000764,0.26814,0.000927,0.363508,0.001202,0,7.754033,46.249561,-0.045695,45.1,101.9,2453046.87264,26.423217,26.421744,-0.013,-9999999,0,0.962476,0.741744,0.375124,0.815405,0.49,179.9974,-48.466828,8.152197,2004-02-11T08:57:43.640,-9999999,G2,072.C-0096(D),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,4.45900673466298E-05,1.10713044378476E-06,0,0,0
GJ641,253.243495,-0.029385,2453050.8826991,18.838448,1.284279,45183.252532,1.27831,39.747873,0.985161,45185.342351,0.819405,39.747873,0.985161,-11.828298,10.795956,7.622738,3.281145,0.516467,0.000891,0.269881,0.001076,0.365029,0.001391,0,7.837025,46.054638,0.009587,45.1,88.6,2453050.8827,26.994762,26.993323,0.353,-9999999,0.011488,1.885459,0.823911,2.078331,0.981148,0.55,179.997,-11.841878,10.758624,2004-02-15T09:11:30.225,-9999999,G2,072.C-0096(D),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,5.36924058350048E-05,1.62373022407434E-06,0,0,0
GJ641,253.243495,-0.029385,2453063.8881888,-3.956355,1.173766,165242532.485213,1.02821,17.217402,1.010942,165242534.865,0.832123,17.217402,1.010942,-8.575881,9.785037,3.608733,3.04084,0.511355,0.000863,0.27214,0.001049,0.373955,0.001352,0,10.136134,0.419801,4.56355,165259.22,90.9,2453063.88818,27.925163,27.92402,0,-9999999,0.048747,2.149791,0.596426,2.33104,0.603977,0.5,179.9954,-8.589266,9.770124,2004-02-28T09:17:50.995,-9999999,G2,072.C-0096(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objA,STAR_DARK_G8V,4.8062217026134E-05,1.35104822614464E-06,0,0,0
GJ641,253.243495,-0.029385,2453063.8919538,0.045013,1.443011,165243201.406279,1.243449,21.217587,1.313984,165243203.779,1.08691,21.217587,1.313984,4.87915,10.425747,-3.181486,3.558068,0.511063,0.001114,0.271967,0.001367,0.364622,0.00176,0,9.461291,0.383371,7091615.94163,165259.22,70.8,2453063.89195,27.916579,27.915414,0.247,-9999999,0.048758,2.148608,0.596429,2.323963,0.60398,0.49,179.9914,4.864997,10.416325,2004-02-28T09:23:18.059,-9999999,G2,072.C-0096(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,5.07695704799731E-05,1.73289907307077E-06,0,0,0
GJ641,253.243495,-0.029385,2453066.8906268,-19.603287,1.215946,45145.730181,1.332166,1.134227,1.027349,45147.912936,0.901115,1.134227,1.027349,-11.688484,10.305212,-11.226567,2.559383,0.498399,0.000994,0.272138,0.00122,0.37684,0.001579,0,7.766098,46.160285,0.020806,45.1,78.8,2453066.89062,27.926231,27.925147,0.414,-9999999,0.057349,1.713548,0.650444,2.125406,0.981152,0.49,179.996,-11.691013,10.303707,2004-03-02T09:20:59.414,-9999999,G2,072.C-0096(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,4.6976912120141E-05,1.22596645397655E-06,0,0,0
GJ641,253.243495,-0.029385,2453191.5295298,15.961508,0.952567,165244517.070175,1.110227,35.47667,0.593245,165244514.752,0.519582,35.47667,0.593245,-6.156217,4.812148,0.472416,1.432932,0.488861,0.000533,0.281902,0.000667,0.363841,0.000859,0,11.154328,0.351603,13512.460392,165258.805,142,2453191.52952,-13.922075,-13.921739,-0.142,-9999999,0.414421,0.491196,0.745281,-2.732596,0.981142,0.47,349.9776,-6.168473,4.75543,2004-07-05T00:33:06.502,-9999999,G2,073.D-0038(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,4.42570250586722E-05,1.22313319844132E-06,0,0,0
GJ641,253.243495,-0.029385,2453237.5085438,13.917802,1.163212,-9451.498074,1.168469,32.244651,0.787023,-9451.590974,0.634555,32.244651,0.787023,-7.219734,6.171906,-6.345599,1.77438,0.491373,0.000664,0.273617,0.000824,0.375773,0.001073,0,4.750992,0.364559,-0.437063,0,115,2453237.50853,-26.497838,-26.497704,-0.009,-9999999,0.546144,-0.697117,0.856537,-0.639044,0.981152,0.48,349.9816,-7.238094,6.138017,2004-08-20T00:07:32.784,-9999999,G2,073.D-0038(C),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,4.41416976284863E-05,9.66521731870781E-07,0,0,0
GJ641,253.243495,-0.029385,2453264.4891561,-15053.013298,256.000506,-11450.339889,8.595668,-15035.36656,255.999073,-11450.737412,8.539486,-15035.36656,255.999073,10733.64241,13827.640102,3768.208831,129.924018,0.767659,0.020063,0.928466,0.031708,1.07761,0.041281,64,7.418116,43.364453,-0.041627,0,5.4,2453264.48915,-26.963361,-26.963414,0,-9999999,0.62344,-1.377229,0.856547,-1.020963,0.981163,0.58,350.0007,16788.878177,-9999999,2004-09-15T23:42:33.232,-9999999,G2,073.D-0038(D),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,3.74836407314852E-05,2.07875671148143E-06,0,0,0
GJ641,253.243495,-0.029385,2453265.4781561,6.34811,0.948993,45173.074473,1.034192,23.921135,0.408539,45172.73737,0.326892,23.921135,0.408539,-2.544863,3.588757,3.602175,1.835277,0.498135,0.000324,0.277068,0.000392,0.377611,0.000515,0,7.780102,46.01558,0.011001,45.1,238.7,2453265.47815,-26.846216,-26.846267,0.081,-9999999,0.626273,-1.450942,0.856553,-0.963376,0.98117,0.51,350.0017,-2.550951,3.556939,2004-09-16T23:27:14.951,-9999999,G2,073.D-0038(D),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G8V,4.38948496702469E-05,1.11909144473887E-06,0,0,0
GJ641,253.243495,-0.029385,2453442.7793567,-9.817367,1.106109,45176.547109,1.116595,10.299394,0.69992,45183.239276,0.53311,10.299394,0.69992,-1.957725,5.50974,-5.988793,1.856559,0.50588,0.000585,0.278103,0.000702,0.371434,0.000904,0,7.289574,32.864859,0.050467,45.1,133.8,2453442.77935,27.611398,27.611485,-0.128,-9999999,1.134216,1.092795,0.856499,5.557951,0.98111,0.5,300.0016,-1.981216,5.504874,2005-03-13T06:38:20.516,-9999999,K5,074.D-0131(E),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K2,4.85003499794964E-05,1.34196204564602E-06,0,0,0
