target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,sourceflag,vsinflag,metflag
HD222259A,354.914084,-69.196525,2458635.8913175,37.020292,4.154975,7979.790905,1.926813,-92.675763,3.998279,7977.415601,1.378656,-92.675763,3.998279,138.054954,30.580633,15.516005,3.333208,0.79293,0.001125,0.386129,0.001077,0.500147,0.001363,0,41.567115,27.188464,3.805364,7.88,103.3,2458635.89131,13.897492,13.897549,0.42,-9999999,0,1.58005,1.130303,-2.375304,1.346074,0.5,899.9981,137.95681,30.708295,2019-06-01T09:13:50.931,-9999999,G2,0103.C-0759,Benatti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2,8.6772484543053E-05,1.01457102930683E-05,1,1,1
HD222259A,354.914084,-69.196525,2458636.8979987,-49.664734,3.457824,7900.183497,1.814389,-180.99701,3.230321,7897.693471,1.216578,-180.99701,3.230321,-124.31542,31.084808,15.299204,2.890263,0.708598,0.000864,0.383329,0.000861,0.499458,0.001092,0,38.848979,25.324107,-1.098568,7.88,128,2458636.898,13.758764,13.758818,0.505,-9999999,0.00003,-0.056172,1.23352,-2.490056,1.346085,0.47,899.9982,-124.883834,31.108826,2019-06-02T09:23:51.192,-9999999,G2,0103.C-0759(A),Benatti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2,8.16934693862088E-05,6.13954730326113E-06,1,1,1
HD222259A,354.914084,-69.196525,2458637.9360853,297.148285,3.78185,8227.134384,1.863773,165.418285,3.575007,8223.097592,1.288997,165.418285,3.575007,-189.769263,38.488925,1.651651,3.149426,0.723347,0.000937,0.369667,0.000931,0.491212,0.001179,0,35.902804,23.892429,0.033805,7.88,117.9,2458637.93608,13.584939,13.584996,0.338,-9999999,0.000062,-0.453896,1.233577,-4.036854,1.346156,0.47,899.9982,-189.674427,38.531664,2019-06-03T10:18:37.802,-9999999,G2,0103.C-0759,Benatti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2,7.93739751637005E-05,8.18447753328547E-06,1,1,1
HD222259A,354.914084,-69.196525,2458638.9169958,-38.703852,5.087099,7917.317648,2.033825,-170.468913,4.935275,7913.28032,1.524601,-170.468913,4.935275,157.496046,49.373375,11.865944,4.469694,0.774007,0.001333,0.37865,0.001304,0.494566,0.001654,0,43.454506,28.474241,0.282839,7.88,85.9,2458638.91699,13.4623,13.462354,-0.404,-9999999,0.000092,-0.488956,1.233547,-4.03742,1.346119,0.47,899.9982,156.721228,49.493066,2019-06-04T09:51:04.661,-9999999,G2,0103.C-0759,Benatti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2,9.00903555091191E-05,1.12220758549213E-05,1,1,1
HD222259A,354.914084,-69.196525,2458640.8884627,205.341218,3.523549,8155.561361,1.842626,72.528361,3.40604,8151.523245,1.258319,72.528361,3.40604,-106.491545,32.213675,3.000808,3.283444,0.716625,0.000917,0.373801,0.000904,0.488594,0.001135,0,34.631695,23.110721,0.068449,7.88,121.9,2458640.88845,13.194549,13.194598,0.06,-9999999,0.000151,-1.536752,0.902379,-4.038267,1.346069,0.51,899.9982,-106.603414,32.165821,2019-06-06T09:09:15.873,-9999999,G2,0103.C-0759,Benatti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2,8.33239383443479E-05,8.31845075825791E-06,1,1,1
HD222259A,354.914084,-69.196525,2458641.9184282,-68.805253,3.728386,7897.657488,1.86583,-200.567683,3.518411,7893.620292,1.292005,-200.567683,3.518411,128.172076,36.805893,15.660286,2.858786,0.739474,0.000957,0.385074,0.000936,0.495809,0.00118,0,43.796322,28.780548,1.184422,7.88,118.1,2458641.91843,13.012202,13.012236,-0.214,-9999999,0.000182,-0.486326,1.233549,-4.037378,1.346121,0.48,899.9982,128.183712,36.851412,2019-06-07T09:52:48.021,-9999999,G2,0103.C-0759,Benatti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2,8.73086127959062E-05,8.38098363212449E-06,1,1,1
HD222259A,354.914084,-69.196525,2458642.8884069,50.681136,3.357496,7997.518439,1.800309,-81.136432,3.122697,7993.480383,1.195496,-81.136432,3.122697,-322.053008,38.333795,14.559119,2.758918,0.722959,0.000854,0.382278,0.000849,0.493174,0.001071,0,39.910529,26.109457,1.207267,7.88,131.2,2458642.8884,12.884568,12.884615,-0.09,-9999999,0.000212,-0.541464,1.233508,-4.038268,1.346069,0.49,899.9982,-321.92141,38.323722,2019-06-08T09:09:21.579,-9999999,G2,0103.C-0759,Benatti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2,7.93880562956261E-05,7.71742882343091E-06,1,1,1
HD222259A,354.914084,-69.196525,2458656.8595457,5.085576,5.282291,7942.546908,2.043667,-123.152313,5.136258,7944.380869,1.537787,-123.152313,5.136258,-64.813394,53.446201,20.442115,4.460945,0.756611,0.001329,0.403789,0.001354,0.509625,0.00169,0,40.525446,26.079306,0.177438,7.88,85.3,2458656.85954,10.389412,10.389476,-0.075,-9999999,0.000635,3.038215,1.233473,1.833326,1.346027,0.5,899.9982,-66.523968,53.368579,2019-06-22T08:26:52.202,-9999999,G2,0103.C-0759(A),Benatti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2,9.22910255910184E-05,9.7263777181606E-06,1,1,1
HD222259A,354.914084,-69.196525,2458657.8459379,92.257222,3.770187,8037.832671,1.857129,-36.360368,3.562708,8039.321277,1.279527,-36.360368,3.562708,-217.567942,29.491747,6.103778,2.654676,0.747988,0.000958,0.365567,0.000922,0.496215,0.001182,0,41.807235,27.705946,2.168346,7.88,118.9,2458657.84593,10.200895,10.200972,0.028,-9999999,0.000664,2.658514,1.233459,1.487942,1.346009,0.5,899.9982,-217.167824,29.527419,2019-06-23T08:07:13.577,-9999999,G2,0103.C-0759(A),Benatti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2,8.698042047754E-05,6.50365876359516E-06,1,1,1
HD222259A,354.914084,-69.196525,2458659.918169,160.198708,9.151802,8077.912963,2.609483,37.226175,9.115833,8076.885837,2.235478,37.226175,9.115833,-256.780255,83.891997,23.462104,7.860263,0.743412,0.002294,0.395788,0.002432,0.508695,0.003023,0,38.567211,24.808007,1.866498,7.88,48.6,2458659.91816,9.710164,9.710242,0.572,-9999999,0.000727,8.303572,0.8106,-1.027853,1.346121,0.49,899.9982,-263.697258,84.701116,2019-06-25T09:51:17.422,-9999999,G2,0103.C-0759(A),Benatti,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_G2,7.77314818285136E-05,6.20536520572871E-06,1,1,1
