target,BJD,RV_mlc_nzp,e_RV_mlc_nzp
HD69830,2452939.87402496,30295.4332159745,0.276256148922747
HD69830,2452943.87609052,30299.4198913051,0.249723509350118
HD69830,2452946.8630704,30296.162415105,0.240978599212971
HD69830,2452997.80895233,30295.0520767631,0.615634529844772
HD69830,2453000.71117412,30297.880611092,0.557806829612249
HD69830,2453035.77971113,30300.6913159802,0.25958756289003
HD69830,2453038.6994163,30303.3382449321,0.383841743494322
HD69830,2453049.6298505,30295.4417745121,0.152543673141337
HD69830,2453058.63753872,30295.733240363,0.296501255848271
HD69830,2453064.60823211,30304.1473984161,0.30441001687076
HD69830,2453066.62804263,30297.5366478299,0.263581663678995
HD69830,2453146.50389262,30292.3773054278,0.364831881619053
HD69830,2453147.4652866,30290.6666750529,0.466520845253989
HD69830,2453150.45992589,30297.4568086429,0.307638953029548
HD69830,2453151.45979121,30293.0346042766,0.521155258308905
HD69830,2453154.45524766,30290.517060502,0.492712533557905
HD69830,2453155.45369199,30299.3054674033,0.290036218086286
HD69830,2453156.51940059,30294.0420995002,0.341548246698497
HD69830,2453158.47880708,30299.3227051593,0.631776076036511
HD69830,2453159.47188426,30300.4799418635,0.363066977574132
HD69830,2453308.84419646,30291.426439648,0.374899238189322
HD69830,2453308.84623367,30291.0964416046,0.406393150271944
HD69830,2453308.84838663,30289.6674282284,0.351490663068963
HD69830,2453308.85051644,30290.2111274001,0.340102571171403
HD69830,2453308.85263468,30289.5161466066,0.343661324604271
HD69830,2453309.8496064,30288.6343179701,0.27683507576752
HD69830,2453309.85208346,30288.6925189069,0.26440213599937
HD69830,2453309.8545258,30288.701476786,0.273911715637158
HD69830,2453309.85699129,30290.0093863191,0.271310464821872
HD69830,2453310.83022262,30290.3604727994,0.250242557910634
HD69830,2453310.83291961,30290.0744175689,0.249612550851582
HD69830,2453310.83560502,30289.5367202024,0.244898581101
HD69830,2453310.83830201,30289.624659387,0.24198036386908
HD69830,2453315.77831922,30295.989053103,0.342860076945285
HD69830,2453315.78064581,30297.4419083212,0.292947299402087
HD69830,2453315.78301869,30296.6730829011,0.32338953412619
HD69830,2453315.78558836,30297.4387316055,0.344629604700149
HD69830,2453315.78808857,30298.5770644228,0.303079881726279
HD69830,2453315.79047303,30297.6890645544,0.275548492324959
HD69830,2453336.87245408,30287.6330513239,0.240308648590198
HD69830,2453336.87593814,30288.3707795706,0.229349138865441
HD69830,2453336.87944536,30288.2950604995,0.208013578528074
HD69830,2453338.86713303,30290.7740830545,0.217648662658268
HD69830,2453338.86980684,30291.1177244961,0.223894739196319
HD69830,2453338.87246908,30290.4166491151,0.218396053656426
HD69830,2453338.87513132,30290.944812831,0.226099405762041
HD69830,2453339.86917673,30293.2331955642,0.200917609079005
HD69830,2453339.87257976,30293.3756778918,0.205418371187291
HD69830,2453339.87615642,30292.7386676097,0.207581587279522
HD69830,2453340.86955293,30296.0746967515,0.188696632029514
HD69830,2453340.87300227,30295.2235105398,0.182933291358789
HD69830,2453340.8764516,30294.4448539648,0.17947717107879
HD69830,2453341.87296105,30295.6935567336,0.185477854733242
HD69830,2453341.87665346,30295.5842024674,0.188166926822433
HD69830,2453341.88023011,30294.5323677843,0.181070354879971
HD69830,2453366.79806209,30300.6783050885,0.456244789155155
HD69830,2453366.79912696,30297.6105848442,0.431506185333898
