target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,sourceflag,vsinflag,metflag
GJ792.1,308.099699,-9.851775,2452948.5273452,176.014589,0.907037,9539.984545,0.999393,168.405044,0.298454,9540.712947,0.19012,168.694641,0.302649,-18.98718,5.619182,-60.733396,2.602531,0.410502,0.000203,0.351855,0.000298,0.465949,0.000384,0,7.213728,49.65909,-0.00595,9.453,353.3,2452948.52741,-29.798716,-29.798759,0.627,-9999999,0,0.397084,0.856529,0.728402,0.981143,0.49,666.5959,-18.950674,5.528338,2003-11-05T00:34:29.461,-9999999,G2,072.C-0488(E),M. Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3V,6.63148527620802E-06,2.73347715263055E-07,0,0,0
GJ792.1,308.099699,-9.851775,2453291.5149637,159.331512,1.121638,9523.917544,1.16287,151.347125,0.724169,9524.324184,0.624191,151.430347,0.726262,3.0415,7.098486,-28.738379,1.648743,0.413099,0.000659,0.350248,0.00097,0.473848,0.001266,0,7.207745,49.386915,-0.005977,9.5,108.6,2453291.51496,-28.285283,-28.285161,0.07,-9999999,0.057662,0.022242,0.856534,0.348978,0.981149,0.49,60.001,3.049201,7.044812,2004-10-13T00:18:29.741,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,6.2679171129908E-06,8.92758896999264E-07,0,0,0
GJ792.1,308.099699,-9.851775,2453291.5159999,161.925213,1.215053,9525.80512,1.221743,153.940501,0.861802,9526.209812,0.728014,153.784309,0.863881,4.4868,8.694004,-28.616491,1.949846,0.413467,0.000762,0.350103,0.001132,0.47274,0.001476,0,7.201768,49.392373,-0.007658,9.5,93.4,2453291.51599,-28.288036,-28.28789,0.025,-9999999,0.057662,0.021917,0.856534,0.34703,0.981148,0.45,60.0009,4.496046,8.640101,2004-10-13T00:20:01.680,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,-9999999,-9999999,-9999999,-9999999,-9999999
GJ792.1,308.099699,-9.851775,2453291.5170878,161.85385,1.14446,9526.755006,1.176102,153.868796,0.759038,9527.157654,0.648509,153.9323,0.761075,-2.907977,7.979179,-31.229381,1.851715,0.413914,0.000676,0.349886,0.001,0.472968,0.001304,0,7.205052,49.38506,-0.005429,9.5,105.3,2453291.51708,-28.290923,-28.29077,0.012,-9999999,0.057662,0.021575,0.856533,0.344986,0.981148,0.49,60.001,-2.894035,7.911389,2004-10-13T00:21:33.278,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,4.60676329364927E-06,8.01898366496353E-07,0,0,0
GJ792.1,308.099699,-9.851775,2453291.5181358,161.179509,1.123365,9525.092254,1.162509,153.194126,0.726843,9525.492932,0.62352,153.110886,0.728847,4.039043,5.966429,-31.852998,1.65407,0.413,0.000653,0.350345,0.000965,0.473173,0.001258,0,7.2029,49.393936,-0.003932,9.5,109.3,2453291.51813,-28.293703,-28.293585,-0.021,-9999999,0.057662,0.021246,0.856533,0.343016,0.981147,0.49,60.001,4.043834,5.899062,2004-10-13T00:23:03.838,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,7.13251370083784E-06,7.48924720829521E-07,0,0,0
GJ792.1,308.099699,-9.851775,2453291.519197,159.876899,1.118533,9525.374388,1.158988,151.891182,0.719353,9525.773072,0.616932,151.785962,0.721514,2.953237,7.397848,-28.801623,1.843628,0.414112,0.000641,0.350327,0.000949,0.473135,0.001238,0,7.20672,49.382213,-0.004511,9.5,111,2453291.51919,-28.296514,-28.296368,0.056,-9999999,0.057663,0.020912,0.856532,0.341021,0.981147,0.5,60.001,2.962312,7.317531,2004-10-13T00:24:34.936,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,5.0956822500499E-06,8.31044297947754E-07,0,0,0
GJ792.1,308.099699,-9.851775,2453291.5202798,158.581792,1.111387,9523.054349,1.154109,150.595735,0.708191,9523.450998,0.607716,150.390619,0.71011,-9.73443,6.418346,-30.882471,1.593512,0.414776,0.000633,0.350357,0.000935,0.471858,0.001217,0,7.204516,49.398522,-0.005301,9.5,112.6,2453291.52027,-28.299379,-28.299239,-0.018,-9999999,0.057663,0.020572,0.856532,0.338986,0.981146,0.53,59.9956,-9.724499,6.360602,2004-10-13T00:26:06.696,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,9.04029365518895E-06,7.80288329592103E-07,0,0,0
GJ792.1,308.099699,-9.851775,2453291.5213273,157.424973,1.138248,9522.3244,1.171366,149.438587,0.749642,9522.71908,0.639883,149.132151,0.751858,-0.014908,8.442354,-33.13287,1.828752,0.413129,0.000663,0.351056,0.000986,0.473359,0.001284,0,7.199956,49.41116,-0.00264,9.5,107,2453291.52133,-28.302148,-28.302016,0.077,-9999999,0.057663,0.020243,0.856531,0.337017,0.981146,0.51,60.0004,-0.007201,8.386044,2004-10-13T00:27:38.406,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,9.15540776912332E-06,6.88378631794656E-07,0,0,0
GJ792.1,308.099699,-9.851775,2453291.5223791,155.951466,1.12066,9521.397311,1.160632,147.96475,0.722657,9521.790014,0.620016,147.945919,0.724623,0.165276,7.30951,-31.96822,1.593701,0.414141,0.000638,0.349143,0.000947,0.472903,0.001237,0,7.20349,49.398846,-0.003308,9.5,111,2453291.52237,-28.304926,-28.304788,-0.165,-9999999,0.057663,0.019913,0.856531,0.33504,0.981145,0.51,60.0008,0.173064,7.260388,2004-10-13T00:29:09.295,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,7.12396323678728E-06,8.53764678189071E-07,0,0,0
GJ792.1,308.099699,-9.851775,2453295.5472294,156.926834,0.807222,9522.239921,0.969927,147.991463,0.525479,9521.250661,0.473432,148.002855,0.527886,-7.852748,5.756494,-37.737216,1.494107,0.416012,0.000533,0.348625,0.000774,0.471259,0.001011,0,7.204091,49.462409,-0.005797,9.5,135.6,2453295.54723,-28.957853,-28.957771,0.176,-9999999,0.05834,-0.928742,0.612764,-1.0476,0.846534,0.5,60.0011,-7.844213,5.677905,2004-10-17T01:05:30.053,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,5.65057746624573E-06,6.52540215344234E-07,0,0,0
