target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,sourceflag,vsinflag,metflag
BD+101799,126.613981,10.0786,2458401.8767666,3.010261,2.683914,50715.922527,1.895127,2.65362,2.376704,50715.030066,1.344897,2.65362,2.376704,40.246899,23.561725,-11.385382,4.379877,0.384091,0.001079,0.4561,0.001742,0.590022,0.002179,0,9.835874,27.003227,0.048255,50.6,70.4,2458401.87676,28.200319,28.200312,0.136,-9999999,0,0.378896,1.246865,-0.892461,1.3352,0.55,899.9982,40.306957,23.556215,2018-10-10T08:57:00.751,-9999999,G2,0102.C-0171(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_F9,7.99887992877352E-06,1.24144149537708E-06,0,0,0
BD+101799,126.613981,10.0786,2458404.8775235,-6.65424,2.586174,50700.748115,1.856638,-6.82787,2.265749,50700.54184,1.290094,-6.82787,2.265749,-12.753902,21.356163,-2.652429,4.230082,0.384385,0.001022,0.467835,0.001656,0.585718,0.002088,0,9.825015,26.981231,0.054633,50.6,73.7,2458404.87751,28.658002,28.65799,-1.14,-9999999,0.000046,0.561907,1.246866,-0.206321,1.335201,0.53,899.9982,-12.831632,21.356649,2018-10-13T08:57:59.784,-9999999,G2,0102.C-0171(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_F9,4.20210667057214E-06,1.88578013134716E-06,0,0,0
BD+101799,126.613981,10.0786,2458405.8968671,-64.978405,7.029808,50686.706199,3.127297,-65.101385,6.918343,50686.47061,2.827921,-65.101385,6.918343,170.02328,107.706504,397.052465,32.144824,0.399327,0.002251,0.48944,0.003714,0.616288,0.00465,0,9.566233,22.193558,0.057413,50.6,35.1,2458405.89686,28.755876,28.755869,0.45,-9999999,0.000062,0.612557,1.246891,-0.235651,1.335233,0.56,899.9982,170.378847,107.643565,2018-10-14T09:25:15.707,-9999999,G2,0102.C-0171(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_F9,1.1159076560822E-05,2.19151481419673E-06,0,0,0
BD+101799,126.613981,10.0786,2458406.8935219,-13.568749,2.859966,50702.402015,1.946061,-13.731983,2.573845,50702.159592,1.415741,-13.731983,2.573845,30.972169,24.628082,66.988459,6.823174,0.389619,0.001133,0.470797,0.001829,0.601286,0.002306,0,9.796216,26.361953,0.056183,50.6,66.8,2458406.89352,28.888521,28.888508,0.565,-9999999,0.000077,0.572303,1.246886,-0.2425,1.335227,0.55,899.9981,30.944372,24.628917,2018-10-15T09:20:27.464,-9999999,G2,0102.C-0171(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_F9,7.89545112569732E-06,1.46574202897446E-06,0,0,0
BD+101799,126.613981,10.0786,2458407.8954388,-12.47114,2.303635,50706.417143,1.710361,-12.585419,1.937009,50706.255649,1.068876,-12.585419,1.937009,22.15366,23.18336,91.701583,7.977883,0.391123,0.000786,0.46297,0.001274,0.599564,0.001597,0,9.761745,26.050573,0.04895,50.6,95.5,2458407.89543,29.001791,29.00179,-0.328,-9999999,0.000092,0.621258,1.246889,-0.161586,1.33523,0.5,899.9982,22.053573,23.178592,2018-10-16T09:23:49.784,-9999999,G2,0102.C-0171(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_F9,4.24716782967936E-06,1.17217939092132E-06,0,0,0
BD+101799,126.613981,10.0786,2458409.8717917,0.874838,2.200068,50709.250749,1.673525,-1.987431,1.850767,50707.459648,1.111874,-1.987431,1.850767,7.13795,19.491089,-9.713786,3.256948,0.386563,0.000828,0.459822,0.001344,0.584244,0.001686,0,9.820705,26.976239,0.05473,50.6,90.1,2458409.87179,29.258053,29.258053,0.083,-9999999,0.000123,-2.126732,1.18952,-1.791224,1.250769,0.49,899.9982,7.146399,19.486671,2018-10-18T08:49:39.206,-9999999,G2,0102.C-0171(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_F9,3.85034692374634E-06,1.3482104716222E-06,0,0,0
BD+101799,126.613981,10.0786,2458410.8732887,3.033994,2.115773,50713.458196,1.697366,2.890039,1.709337,50713.314517,1.048001,2.890039,1.709337,15.180342,16.230132,-9.965862,2.621648,0.385319,0.000777,0.459683,0.001257,0.587816,0.001583,0,9.837552,26.945835,0.047844,50.6,96.4,2458410.87329,29.347097,29.347096,0.011,-9999999,0.000138,0.591582,1.246861,-0.143817,1.335195,0.5,899.9982,15.251922,16.224772,2018-10-19T08:51:31.155,-9999999,G2,0102.C-0171(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_F9,5.93615063888697E-06,1.2081130184279E-06,0,0,0
BD+101799,126.613981,10.0786,2458411.879641,1.683226,2.124383,50710.334963,1.703448,1.563316,1.719977,50710.145783,1.057811,1.563316,1.719977,4.567999,19.09226,-10.306673,2.912108,0.387547,0.000793,0.458115,0.001274,0.584362,0.001604,0,9.83652,26.971963,0.050147,50.6,94.9,2458411.87963,29.41759,29.417605,0.222,-9999999,0.000154,0.615627,1.246869,-0.189334,1.335205,0.51,899.9983,4.53058,19.082571,2018-10-20T09:00:22.539,-9999999,G2,0102.C-0171(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_F9,1.86314018570019E-06,1.10420451722819E-06,0,0,0
BD+101799,126.613981,10.0786,2458412.8775214,4.303915,1.916965,50715.88052,1.32786,5.254543,1.7237,50718.004564,1.056896,5.254543,1.7237,32.385574,15.159754,-12.658007,3.424993,0.38563,0.000797,0.470423,0.001284,0.596054,0.00161,0,9.823866,26.959764,0.05535,50.6,94.5,2458412.87751,29.496701,29.496735,0,-9999999,0.000169,1.686165,0.838817,2.123875,0.803855,0.51,899.9982,32.33363,15.154378,2018-10-21T08:57:10.997,-9999999,G2,0102.C-0171(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_F9,2.68364946859694E-06,1.09989638635306E-06,0,0,0
BD+101799,126.613981,10.0786,2458413.87505,-0.176202,1.81957,50709.597086,1.131904,-2.133754,1.581598,50709.011242,0.994751,-2.133754,1.581598,-17.145843,15.571052,-10.458552,2.821803,0.38984,0.00073,0.469193,0.001177,0.600429,0.001485,0,9.829868,26.965303,0.048672,50.6,102.8,2458413.87505,29.568218,29.568234,0.513,-9999999,0.000184,-1.222015,0.899657,-0.586028,0.540072,0.5,899.9982,-17.256859,15.565116,2018-10-22T08:53:38.036,-9999999,G2,0102.C-0171(A),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_wavesimult,STAR_WAVE_F9,3.8079998748564E-06,1.11971252009957E-06,0,0,0
