target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,sourceflag,vsinflag,metflag
HD96700,166.977705,-30.17399,2453017.8526451,6.868988,1.111134,12864.321862,1.151632,-0.108596,0.708332,12864.138812,0.60302,-0.10261,0.708336,-13.196001,7.656009,-30.559933,1.833196,0.406893,0.000612,0.388865,0.000916,0.52242,0.00118,0,6.930221,40.980102,-0.011946,12.747,120.2,2453017.85264,23.83239,23.832946,0.275,-9999999,0,-0.146113,0.856087,-0.18305,0.981134,0.53,169.3018,-13.1915,7.656009,2004-01-13T08:23:52.121,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,8.66916618070988E-06,5.93911478344757E-07,0,0,0
HD96700,166.977705,-30.17399,2453053.8507094,-3.010373,1.124164,12855.336624,1.070425,-7.779032,0.752582,12857.531968,0.649151,-7.758474,0.752753,-17.785812,6.248254,-23.912404,1.677333,0.404562,0.000673,0.376301,0.000992,0.523743,0.001289,0,6.932751,40.949212,-0.012522,12.747,110.8,2453053.85071,13.69204,13.692936,0.968,-9999999,0.015688,2.062812,0.835083,2.179656,0.851125,0.5,136.5971,-17.785853,6.222447,2004-02-18T08:18:03.962,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,7.61495258328776E-06,7.16598169913946E-07,0,0,0
HD96700,166.977705,-30.17399,2453154.5724609,3.8489,1.012529,12860.660131,1.114464,-3.567242,0.623638,12861.616644,0.528606,-3.587043,0.623734,-3.216999,5.830695,-21.720223,2.059321,0.400897,0.000409,0.379784,0.00065,0.515785,0.000838,0,6.941295,40.884206,-0.012882,12.747,168.2,2453154.57245,-22.814924,-22.814776,0.087,-9999999,0.059584,-0.584671,0.797678,0.896929,0.981124,0.51,528.4008,-3.231655,5.816727,2004-05-29T01:37:03.107,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,7.32312085786138E-06,6.6693912893648E-07,0,0,0
HD96700,166.977705,-30.17399,2453343.8628586,1.591648,0.963659,12858.327291,1.039888,-6.154748,0.442432,12858.021261,0.344578,-6.13175,0.442456,3.795995,3.37196,-10.13791,1.366355,0.406355,0.000322,0.380461,0.000495,0.512366,0.000639,0,6.934372,40.886261,-0.014076,12.7,220.7,2453343.86285,24.33311,24.333003,0.58,-9999999,0.142078,-0.914925,0.856091,-0.448108,0.981138,0.47,420.0018,3.811671,3.336002,2004-12-04T08:41:29.948,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,7.06355625070671E-06,3.8918102929873E-07,0,0,0
HD96700,166.977705,-30.17399,2453343.8682734,-0.001363,0.949744,12856.467461,1.030858,-7.749467,0.41124,12856.151256,0.316276,-7.737056,0.411322,3.793503,3.887486,-13.687194,1.65552,0.407402,0.000297,0.381116,0.000455,0.514262,0.000588,0,6.931803,40.893802,-0.011142,12.7,240.1,2453343.86827,24.323755,24.32365,0.591,-9999999,0.142081,-0.916633,0.856093,-0.458286,0.981141,0.51,420.0021,3.801109,3.843172,2004-12-04T08:49:00.952,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,7.50067327287514E-06,3.26840418398275E-07,0,0,0
HD96700,166.977705,-30.17399,2453412.7811056,0.17772,0.859215,12858.386611,0.813202,-7.098197,0.501944,12857.697269,0.399251,-7.063954,0.501894,2.410318,5.01927,-15.00517,1.42503,0.399813,0.000381,0.37461,0.000575,0.524068,0.00075,0,6.929928,40.909417,-0.010548,12.7,188.8,2453412.7811,16.140193,16.140423,0.06,-9999999,0.172114,-0.444446,0.697354,-0.861456,0.708446,0.47,412.3007,2.408191,4.988542,2005-02-11T06:36:12.409,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,7.68561198604685E-06,4.16764563929323E-07,0,0,0
HD96700,166.977705,-30.17399,2454169.6348475,7.093782,0.822611,12865.579032,0.847337,-1.698061,0.347783,12864.245267,0.259242,-1.702224,0.347683,9.397865,2.869973,-8.548937,0.850883,0.404421,0.000257,0.378335,0.000384,0.522663,0.000499,0,6.936306,40.872545,-0.010123,12.7,284.6,2454169.63498,5.94533,5.945313,0.564,-9999999,0.501958,-1.960372,0.745477,-1.835723,0.806705,0.55,449.9946,9.388728,2.865993,2007-03-10T03:03:16.405,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,6.64886195632546E-06,3.15165732964263E-07,0,0,0
HD96700,166.977705,-30.17399,2454169.6400505,4.909267,0.807712,12862.741661,0.837912,-3.884218,0.310909,12861.398118,0.226552,-3.874987,0.310985,10.81387,3.251229,-10.663854,0.965145,0.404083,0.000225,0.378496,0.000336,0.522821,0.000437,0,6.934293,40.885112,-0.011722,12.7,325.3,2454169.64016,5.932487,5.932516,0.573,-9999999,0.50196,-1.962014,0.745476,-1.845503,0.806704,0.48,449.9949,10.807231,3.230735,2007-03-10T03:11:17.442,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,7.35975224173818E-06,2.77031696994528E-07,0,0,0
HD96700,166.977705,-30.17399,2454521.7483945,0.096756,0.626834,12857.339516,0.740274,-5.181983,0.28192,12859.40024,0.199039,-5.157021,0.281868,0.704183,3.389184,-2.278317,0.622645,0.405432,0.000192,0.385208,0.000284,0.523824,0.00037,0,6.940405,40.845543,-0.012979,12.7,384.1,2454521.74851,11.2205,11.220454,0.246,-9999999,0.655412,1.552732,0.559859,1.405312,0.713014,0.5,900,0.715132,3.36215,2008-02-25T05:43:55.826,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,7.85004111811286E-06,2.2227488769852E-07,0,0,0
HD96700,166.977705,-30.17399,2454522.7907724,-0.520937,0.791375,12856.745294,0.772979,-6.944883,0.408022,12857.794567,0.311371,-6.937171,0.407982,1.034595,4.163496,-0.185868,0.766786,0.406144,0.000294,0.376622,0.000439,0.524585,0.000573,0,6.941977,40.824864,-0.010662,12.7,248.4,2454522.79089,10.709602,10.709593,0.453,-9999999,0.655866,0.407525,0.67808,0.393407,0.707492,0.49,450,1.042317,4.132386,2008-02-26T06:48:43.463,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,7.38269844993533E-06,3.43765381726003E-07,0,0,0
HD96700,166.977705,-30.17399,2454522.796187,0.03219,0.79126,12857.251047,0.773253,-6.393464,0.407796,12858.290146,0.312044,-6.387775,0.407852,1.990721,3.839598,-0.159029,0.848586,0.406197,0.000296,0.376478,0.000441,0.526206,0.000576,0,6.942236,40.825406,-0.011989,12.7,247.7,2454522.79629,10.696322,10.696346,0.248,-9999999,0.655869,0.405817,0.678081,0.38323,0.707494,0.46,450,1.994132,3.811446,2008-02-26T06:56:44.759,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,7.54254165821848E-06,3.94015594173E-07,0,0,0
HD96700,166.977705,-30.17399,2454524.7436827,-3.206364,0.817632,12853.941407,0.877849,-10.506798,0.36439,12854.209581,0.275041,-10.502404,0.364433,-0.416699,4.074093,-3.359246,0.905111,0.401443,0.000267,0.377475,0.000395,0.52433,0.000515,0,6.939718,40.84078,-0.012397,12.7,276.5,2454524.74379,10.013975,10.013977,-0.293,-9999999,0.656717,-0.468963,0.731944,-0.388543,0.833649,0.47,450,-0.394992,4.017669,2008-02-28T05:40:58.031,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,8.24577255754502E-06,3.42223648943576E-07,0,0,0
HD96700,166.977705,-30.17399,2454524.7493229,-3.800981,0.817572,12853.56493,0.87736,-11.103194,0.364253,12853.822507,0.273474,-11.09447,0.364328,2.900194,4.002239,-4.047513,0.842835,0.402033,0.000266,0.377183,0.000394,0.52483,0.000514,0,6.939812,40.839136,-0.013299,12.7,277.5,2454524.74944,9.999304,9.999294,0.136,-9999999,0.65672,-0.470742,0.731945,-0.399143,0.83365,0.48,450,2.904093,3.94904,2008-02-28T05:49:00.827,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,7.41103137435258E-06,2.67540737524289E-07,0,0,0
HD96700,166.977705,-30.17399,2454525.7937967,-2.036777,0.922868,12855.780625,1.013228,-8.828773,0.34472,12856.144288,0.253073,-8.812025,0.344818,4.765979,3.416207,-5.232842,0.833893,0.405817,0.000242,0.384016,0.000359,0.517093,0.000472,0,6.936874,40.846899,-0.012713,12.7,304.3,2454525.79391,9.474663,9.47467,-0.518,-9999999,0.657175,0.039475,0.856068,-0.293512,0.981114,0.49,450,4.789247,3.358185,2008-02-29T06:52:55.903,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,8.00559355030511E-06,2.90170491589233E-07,0,0,0
HD96700,166.977705,-30.17399,2454525.7992191,-1.703667,0.924656,12856.087178,1.014237,-8.497373,0.349476,12856.440652,0.25708,-8.478475,0.349471,4.74162,3.664937,-5.553866,0.860561,0.406368,0.000245,0.383871,0.000364,0.517522,0.000478,0,6.938126,40.842986,-0.011264,12.7,300.3,2454525.79932,9.461652,9.461682,-0.214,-9999999,0.657177,0.037765,0.856069,-0.303703,0.981115,0.46,450,4.76034,3.614537,2008-02-29T07:00:57.889,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G1,8.60971042344714E-06,2.73655112733564E-07,0,0,0
